,atom,G1a,G1b,G1c,G2a,G2b,force
0,0,0.7556527377044234,0.4617174090905631,0.3021345984907333,0.085675,0.262856,3.159003845993227
1,1,1.1411686676905035,0.3605517331629091,0.18125067800374803,0.100707,0.293541,2.7426508555455977
2,2,1.1134596595482331,0.31405526139846296,0.26206118286529245,0.085126,0.252947,1.6450450258974676
3,3,0.8459016348027758,0.35472524338444605,0.2346828672356124,0.09335,0.273293,2.5767377559658646
4,4,0.9044301183702664,0.4381787728901077,0.2107775073711984,0.09625700000000001,0.284321,3.843468591836806
5,5,0.4843474599560632,0.6922847858415354,0.19084557698668395,0.085297,0.253868,4.48996751493694
6,6,0.6515061174136324,0.4518478156574076,0.34316191065047746,0.10350699999999999,0.316529,2.2856688718228635
7,7,0.8839406349076023,0.4955719968904119,0.15490043709706625,0.088424,0.28036500000000003,2.4606236768073657
8,8,0.5715260624205989,0.5976537344635383,0.23677947545888645,0.104558,0.313699,3.687942076540248
9,9,0.93848991943393,0.1504808458130308,0.18030777189803715,0.086319,0.230044,2.831697806469645
10,10,0.5594953539332789,0.4659437834222902,0.25239609108966105,0.07766100000000001,0.225454,1.65710884182814
11,11,1.1289265045813577,0.26926326839198084,0.3367364053415933,0.078046,0.236511,1.5769679036803508
12,12,0.8238483687821185,0.6165794251571591,0.3397615656410411,0.091071,0.298065,1.9606349068860325
13,13,0.6921206374156459,0.4915218955900432,0.259806184029987,0.086966,0.262182,2.789001892409003
14,14,0.6967238038629556,0.484746638512943,0.30297014076092355,0.072777,0.21843,1.056229160085064
15,15,0.5072803428184096,0.5179921707783752,0.37734400770305376,0.056867999999999995,0.180003,4.661516831852482
16,16,0.7687562327070306,0.3512467808350213,0.2009365200120924,0.064397,0.190501,4.172603176203196
17,17,0.25381116187997754,0.5503895422663697,0.25291363299021496,0.051068999999999996,0.143516,4.4955312300795995
18,18,0.5751462781031705,0.5633919737622517,0.22597697077626536,0.049426,0.15482200000000002,3.1675454648632906
19,19,0.5065064762920688,0.4350835496224175,0.27600430715764457,0.052378999999999995,0.157119,1.1467780329715076
20,20,0.6583286797437534,0.4282565004114004,0.3308450969071696,0.06331,0.201337,2.55963562215406
21,21,0.6550811975156473,0.4539039922106095,0.3494383720814574,0.084871,0.266769,2.8892623013539285
22,22,0.6712932376098739,0.43607158282992703,0.13147536890203726,0.080424,0.225077,6.588615315056722
23,23,0.3443615336621508,0.4310235538416279,0.5764800389269901,0.052502,0.174688,5.851008769588369
24,24,0.744727496064517,0.5040755946765039,0.2538423348680891,0.074462,0.234621,2.5749671464311934
25,25,0.5799262494439495,0.474117940315211,0.15889671646367834,0.091136,0.266755,2.7286675230780686
26,26,0.652877209682431,0.4398825414189933,0.3111164884286953,0.060078,0.181061,3.6501446819681003
27,27,0.4699616524990904,0.5067400417178116,0.2846423148948186,0.09185399999999999,0.273542,4.428079789084655
28,28,0.5159411911606379,0.4072276487374042,0.1889423299664593,0.055359000000000005,0.15449000000000002,5.717450723268195
29,29,0.7749174242224753,0.4123261051533673,0.2090586385523486,0.14103800000000002,0.42469799999999996,2.576103424049586
30,30,0.6336239751324851,0.3854450465070937,0.2758694715742204,0.102828,0.288732,4.47194009361049
31,31,0.916982533459996,0.4761261793862582,0.16403687978367976,0.10004400000000001,0.297322,2.8504190601383512
32,32,0.4450348054513053,0.5349217430168434,0.16004647460473642,0.09099700000000001,0.263989,4.935075656664242
33,33,0.5496900452930515,0.34847127455629684,0.3180014568427331,0.062403999999999994,0.178334,5.069895182494802
34,34,0.9006364708463117,0.4490986035817808,0.24387620697310106,0.088452,0.265887,1.9020023278902685
35,35,0.546116847932897,0.1749551404942465,0.28146435857838364,0.110479,0.303248,5.452667539592066
36,36,0.8130469415533397,0.23805894438904826,0.3498090817687815,0.065795,0.18806199999999998,2.8331788980754467
37,37,0.8976907419389613,0.5256445188325892,0.3034656811186043,0.086135,0.27134899999999995,1.6771296965354232
38,38,0.6526163919128979,0.4682665516181557,0.3954917466549313,0.071434,0.22450900000000001,2.0154843786358154
39,39,0.8167840979259275,0.6549105540708701,0.12951646236347478,0.114507,0.342528,3.2778965349290687
40,40,0.5812547524490819,0.478756858141826,0.2961862003988245,0.063066,0.184852,3.485785692336808
41,41,0.775855986001918,0.590198925610018,0.2818946563938931,0.086846,0.271933,2.6812247646784484
42,42,0.6148545435700582,0.4751237805000312,0.2649176985649529,0.087686,0.258587,3.0900406894099315
43,43,0.7404399879938786,0.4688586882460204,0.3053244289224924,0.087267,0.266042,5.198455124063302
44,44,0.8695544397767441,0.4652178307090757,0.2757580997708094,0.059075,0.17743299999999998,1.794279162843954
45,45,0.3266882304617394,0.5822631722055953,0.2464816597309734,0.055406,0.16478099999999998,4.28137992134884
46,46,0.7940938972031315,0.5242705889209713,0.17475874410474498,0.117953,0.352939,2.401336887295076
47,47,0.9713330570015506,0.7111961496854494,0.14999259612784466,0.109142,0.34100199999999997,1.7969825798768893
48,48,0.6901080789424983,0.3639227621198253,0.18927045157264924,0.084982,0.232996,2.9786019609837093
49,49,0.7510058107281667,0.5202798628616062,0.2409209676246702,0.06268,0.19075999999999999,3.5546246237245644
50,50,0.8657438487502156,0.27197473250735865,0.24009779491056454,0.081336,0.22531700000000002,2.937878537397012
51,51,0.4926410093822908,0.8163899194009736,0.4189992965459171,0.09400700000000001,0.318859,1.8217366451430923
52,52,0.7340618427657801,0.3778243119118636,0.2480236060082632,0.046887,0.134874,1.688760090013084
53,53,0.4997745576124799,0.6467669010048727,0.22216454765787505,0.036045999999999995,0.113575,1.3708647640598979
54,54,0.8461607927277474,0.258610583123277,0.14710222254029182,0.08139199999999999,0.21024,5.620709912644489
55,55,0.7574780264186228,0.3786856028183694,0.238619982958666,0.069089,0.196193,4.987124304015291
56,56,0.6099656228478456,0.5260404417401063,0.2254262874477346,0.081471,0.256231,5.273970803265789
57,57,0.3690186436078135,0.6036202073798927,0.1441439027342127,0.06501699999999999,0.18673399999999998,5.4967850865960735
58,58,0.8595840756363785,0.4779141966641945,0.20799294089868836,0.092111,0.271606,3.6605534792979055
59,59,0.6884509245976527,0.5493802106021985,0.15289164659233784,0.059703999999999986,0.176581,1.881656407854792
60,60,0.18808873999804265,0.7647327179650071,0.3101922389299056,0.054411,0.174656,4.530640570573326
61,61,0.9686605381468816,0.2932257919581773,0.19613749214138276,0.087761,0.250195,1.1770347474590543
62,62,0.8470236838488729,0.5861224002331572,0.051889618895535096,0.054641999999999996,0.15670599999999998,1.5446445721679791
63,63,0.8021485167779882,0.3676144898417116,0.25882318650774355,0.07480099999999999,0.21495999999999998,2.2209763922378825
64,64,1.143185669609782,0.3409569427585861,0.16413171533547902,0.106101,0.308397,0.8550055130050331
65,65,0.9743163289873268,0.4128545336042295,0.19271143490996054,0.10548900000000001,0.314298,3.262938093133855
66,66,0.893883226600884,0.27501908213777904,0.3558228500094329,0.086704,0.25197600000000003,3.5139073971008394
67,67,0.6666438885520691,0.4185727414048216,0.2599210223839579,0.081475,0.23188699999999998,5.359938934745434
68,68,0.8051293135969739,0.2733431450423327,0.3592268787536683,0.09683,0.28379299999999996,4.7281749023090285
69,69,0.6052491846528417,0.2656292062966165,0.4482084302484005,0.076106,0.21960300000000002,5.407506850897187
70,70,0.4209182045076619,0.6346421567260696,0.32487040298694514,0.096674,0.297994,4.107315258623935
71,71,0.8026654414099212,0.3764020094922904,0.18557078100136745,0.066011,0.181679,1.898345522880648
72,72,1.1331263428978329,0.5004689144733676,0.1334904454658752,0.096041,0.288575,2.4634143096257684
73,73,0.6400833838798821,0.344134677437114,0.35646467693585593,0.072674,0.212114,3.9211121287971347
74,74,0.8942943399764374,0.16170846020401447,0.3133686400842784,0.06906699999999999,0.191834,3.3531295447784286
75,75,1.0414045075811749,0.28691702786130296,0.2111471529957314,0.057178999999999994,0.169213,1.9516718889764744
76,76,0.9112634649759956,0.32283222463715405,0.2892526678126275,0.091546,0.27216,4.726807793405187
77,77,0.8218627831580997,0.25420999442026804,0.3343023688984044,0.074117,0.214885,3.446116327055719
78,78,0.7298583159343455,0.5801098288430022,0.2674985950292776,0.064063,0.197903,1.477146139626002
79,79,0.840304680324567,0.4968831751874792,0.3103274323016439,0.077437,0.24623,2.644087683934857
80,80,0.5210051070705873,0.6720644144517012,0.35414705527488144,0.090377,0.292509,4.497012828945454
81,81,1.1676033717607497,0.3958285157516523,0.17513166283737133,0.101667,0.300629,2.109818318210362
82,82,1.002240865046109,0.32732009090725545,0.17320584362498026,0.064354,0.188676,1.0340547647092972
83,83,0.7596384941049138,0.4922590729220314,0.21351759262593087,0.084379,0.26621,3.9430478410615306
84,84,0.826064627444922,0.19247455022328905,0.17788653667494295,0.059475,0.156177,3.203017815358041
85,85,0.8303288464023544,0.3225916809526197,0.2390718927269518,0.080385,0.23453400000000002,3.108057099298532
86,86,1.01893507904385,0.23524689486816874,0.19218479745654704,0.066525,0.183852,1.8687743982525016
87,87,0.26505293819968123,0.3822613070401671,0.4984768016146306,0.053484000000000004,0.162557,7.029857043631827
88,88,0.6141811564343804,0.6546163522128003,0.13482485250214118,0.08184,0.259208,1.3390707074714163
89,89,1.1106731798638592,0.6220734561162556,0.10970009022696103,0.14155,0.44208400000000003,2.3077800819291685
90,90,0.7507887457518914,0.17420759689097567,0.2004944224657524,0.089347,0.23823200000000005,0.5943925902322471
91,91,0.4253882806240624,0.6399129895761066,0.2853671481538493,0.082384,0.25045,4.8120540831545116
92,92,0.917261738676574,0.508756620852035,0.2129440263131768,0.12905999999999998,0.39250999999999997,2.2937348442006105
93,93,0.947080899559517,0.3319478703689381,0.2610437792194108,0.100457,0.298356,0.955105253342269
94,94,0.9579070832014152,0.2827010357383902,0.26820055879868426,0.10079400000000001,0.291273,3.5796061775705157
95,95,0.5756417826269437,0.25131090384378424,0.30169636180362563,0.069134,0.198453,3.9580447724981584
96,96,0.7276112369897808,0.3232792622091495,0.2361582767951405,0.08620900000000001,0.247444,2.4019765855438724
97,97,0.5957898291619182,0.4888490074865222,0.4375013568796671,0.085312,0.269428,2.3959096318895248
98,98,0.4608323769002576,0.5300693554747964,0.18960264703876092,0.071051,0.198818,4.214421766802653
99,99,0.5286816674338178,0.4965976015529879,0.3795595651970797,0.055414,0.17157999999999998,2.397125812614765
100,100,0.5841579155536093,0.6028828832283017,0.2465505885203073,0.077774,0.24224899999999996,2.6613464810627345
101,101,0.7809576577898318,0.4789645645449474,0.1991675327863361,0.067165,0.19806300000000002,1.7957703275753278
102,102,0.25724763196658273,0.5281553543626217,0.26143882116216066,0.07404,0.214152,5.889420691663994
103,103,0.8357303931371202,0.5706484575674783,0.2579950309719025,0.08268099999999999,0.254578,1.9729750284301624
104,104,0.7617095012362632,0.256630291159763,0.4251757498211939,0.090624,0.27421,3.6832298560265015
105,105,0.9759690619259372,0.2698974748931185,0.18361535040264548,0.097439,0.270339,2.5281727745399443
106,106,0.6721117144072015,0.4925383402636286,0.1725276086432649,0.094592,0.286046,4.381419793833958
107,107,0.8697603383469874,0.5583750138898494,0.16486191653521284,0.09538300000000001,0.291731,2.1740004169732807
108,108,1.2003872211251316,0.2459528642136073,0.20294066026613197,0.10718699999999999,0.303106,2.9917277898672534
109,109,0.8011945505069794,0.4181214950238068,0.23306796531570376,0.097049,0.284908,1.1868515042000831
110,110,0.7499572421569664,0.480829556621812,0.16205551741009713,0.090587,0.26424899999999996,1.7091308650110002
111,111,0.638934383196327,0.4733415438965077,0.2295580687000789,0.065992,0.20558,2.3098687685002797
112,112,0.9965217590634226,0.394374445589351,0.2265270758803833,0.07230700000000001,0.213164,1.8997362002386016
113,113,1.209954596548268,0.19560529055838025,0.1971191608759225,0.097446,0.26846,1.0274275902140255
114,114,1.032369299404538,0.5100397513343115,0.27486051928753114,0.114264,0.361162,1.393267383787118
115,115,0.9426495338617024,0.4419760501163531,0.11870728339785308,0.072048,0.203646,2.900069704236262
116,116,1.150573668069714,0.5229704931764797,0.17381281322368505,0.127208,0.391464,2.1411820696284773
117,117,0.9144193917554444,0.27919894991754673,0.15865908900493916,0.097506,0.28035,1.9461986391910249
118,118,0.5076354264087566,0.5319436775261529,0.2444743122328512,0.082005,0.251343,5.980083956810305
119,119,0.8365060114472844,0.1951889848585922,0.2878437063442472,0.053679,0.157576,2.7827738242624034
120,120,0.8753753781312784,0.062055591333267074,0.30246730491400986,0.071136,0.18678499999999998,6.359026208107653
121,121,0.5336702642616877,0.5567278104311723,0.32856247578436226,0.081118,0.250732,3.0018462789756573
122,122,0.5911366114718821,0.6149088281398142,0.32297493454626863,0.058688,0.18664,2.8386084289940383
123,123,0.7471640587569888,0.533101995234598,0.2835439508871353,0.08541900000000001,0.269127,2.9199473250880743
124,124,0.39280046768240456,0.6597944995123117,0.1359541042102579,0.087987,0.254999,4.7787275295731195
125,125,0.6089587921828769,0.4689228757041969,0.1858160913818474,0.10170499999999999,0.295029,4.598086026620207
126,126,1.0363123321157686,0.3462290536635953,0.3058493834362108,0.103744,0.325236,3.772205392284996
127,127,1.0373604803361969,0.175080494299344,0.2831511805714225,0.089245,0.246894,2.55850491456319
128,0,0.8399246415393714,0.3156502906383848,0.2580784472848245,0.08691499999999999,0.247803,2.167187756407137
129,1,0.4415024027834821,0.5028912325221362,0.265382063625123,0.070355,0.211867,1.3999646338907994
130,2,1.016321021004769,0.32441639098962816,0.11749589833523133,0.098807,0.279503,1.7021485370040417
131,3,0.904142398478936,0.19972876525537286,0.2781018100777836,0.074283,0.21628000000000008,2.4126549066279663
132,4,0.6000916522917489,0.22551316861350856,0.3207312264935576,0.059029999999999985,0.172644,6.053874563137232
133,5,0.9556888196889456,0.3927191308662357,0.16785916678057258,0.065329,0.195409,0.9729103506014108
134,6,0.5280901986451702,0.5459229884703355,0.17042300005434285,0.058701,0.180844,1.8616173084478185
135,7,0.5991120205561032,0.263510468712276,0.3492272495771503,0.060229,0.174591,4.0149201641030166
136,8,0.621908886800746,0.5939496717010939,0.1443659514980827,0.083954,0.239077,4.494227536335472
137,9,0.7420782184185821,0.3875612853681742,0.2945833609808365,0.062203,0.18725,2.5242292744127366
138,10,0.6932109714883561,0.3014161812459304,0.2654381073371854,0.08541599999999999,0.240312,4.7061789697930525
139,11,1.178050500598729,0.14125140496720234,0.26288448843536233,0.098422,0.276572,1.6722268631944053
140,12,0.4326948681769845,0.4110748429450698,0.3807193949929914,0.070511,0.209764,4.868874903886933
141,13,0.4611267471229334,0.56170723711368,0.3626888276519324,0.043873,0.137294,2.5407701942208387
142,14,0.8288172157370947,0.3378213571538368,0.13365899656133062,0.068826,0.210834,2.1553706939559145
143,15,0.6015747154512433,0.5626777932539653,0.3195646348718323,0.068124,0.21336,2.3601568458439366
144,16,0.6949816339162758,0.4295884722598507,0.15642963771866775,0.094238,0.26907,5.683157047003013
145,17,0.5642169580453216,0.5253329629751082,0.22083318923508108,0.094709,0.289779,3.583638454007464
146,18,0.9532153591719924,0.4726993459705202,0.28017178418508626,0.083841,0.261224,1.2215328063879414
147,19,1.2171783421206313,0.4089604872221161,0.19424502342791206,0.119628,0.360834,0.8553661100148872
148,20,0.5472536410839692,0.6250365805393902,0.2321770781978969,0.062219,0.19336,1.7541466717706362
149,21,0.5732249562411843,0.3971835297579976,0.2950719539576835,0.059404999999999986,0.177255,3.825755499694407
150,22,0.7718286150986572,0.3844862763056751,0.3054177933003914,0.080794,0.251517,4.520594431797659
151,23,0.5075017085976081,0.3583865616568819,0.28247864644896153,0.083354,0.236452,4.740088194665159
152,24,0.7887113804137275,0.4052293069404647,0.1914989732680907,0.08058799999999999,0.237218,3.8285227462330687
153,25,0.7438804235274411,0.3348580978762158,0.3866889668777224,0.07456499999999999,0.23425,2.8420277720826377
154,26,0.9052004956711076,0.5005437372428311,0.19534541019211696,0.08151599999999999,0.24774,3.118981070281768
155,27,0.638167787662389,0.4580236104281648,0.3152495195490054,0.055454,0.169748,1.8302946377687392
156,28,0.7729323665336987,0.4829392163399072,0.1859884856760368,0.067499,0.20089,0.9675474931583462
157,29,0.4704565011987755,0.5677293088439069,0.2132253407015411,0.044628,0.135673,2.592897301572124
158,30,0.5504917569493497,0.4123117152099718,0.22235027756881828,0.076848,0.21915,4.693293780897697
159,31,0.8280101908641513,0.5938409906493312,0.23242458230667046,0.07949500000000001,0.238779,1.5064056879818266
160,32,0.6895134695063089,0.24062805650621186,0.29455794267935304,0.077062,0.221459,3.9359418920696734
161,33,0.8194115043043888,0.4466690441329752,0.1388453026200035,0.093476,0.269038,4.397997580319935
162,34,1.0039335634853694,0.3658475763229003,0.1934897064676163,0.08579099999999999,0.2529,2.1856361569822185
163,35,0.36421039907972064,0.6562797529282289,0.29082382272793483,0.075273,0.226967,8.740306763117642
164,36,0.681234325215006,0.3606937248761021,0.25617534785564594,0.085997,0.246811,2.026206373166613
165,37,0.7127978998363255,0.6157054517829854,0.2880152298296038,0.074647,0.231602,1.8439248925921576
166,38,0.7725182430910503,0.21802032559669804,0.2269139075916637,0.108383,0.289539,4.234596050255089
167,39,0.615657655539664,0.5627221442960477,0.15632396293256345,0.101256,0.29901700000000003,4.094128252586257
168,40,0.9989716793707896,0.4723819924536034,0.3527329718325001,0.08833099999999999,0.283484,2.458118626978772
169,41,0.8859317884019864,0.35696226247788,0.21822847894128536,0.06156,0.16862,2.2088396235526018
170,42,0.6679490849961969,0.40428817810387,0.27189707311604955,0.05675,0.170735,1.243694575472612
171,43,0.5156894874923338,0.3821858375727375,0.23292937751707984,0.053665,0.153828,3.886744030586527
172,44,0.8555230552910112,0.5424280593788221,0.3265889159469714,0.105283,0.329395,3.411359240332364
173,45,0.3933496978048012,0.6840488959049228,0.35857056334427057,0.097348,0.306126,4.408323177379921
174,46,0.6446879729610836,0.6171896694937404,0.24298780038302084,0.050193,0.161054,1.6126711747820757
175,47,0.9629915502409,0.3867570669437092,0.18627077883719187,0.071244,0.213994,2.271603484282413
176,48,0.5067737761367731,0.52437145325348,0.3754311230213735,0.062927,0.197676,3.268172564260339
